source_id,source_content_sha256,label_canonical,split,n_original_records,representative_image,all_image_paths,n_distinct_sensor_triplets,rh_min,rh_max,soil_moisture_min,soil_moisture_max,ph_min,ph_max
SRC0023,1789ae453ba022519d9834eac1dfffb7782e054ef34097bf866524cc48c46ff1,Leaf spot,validation,2,B (125).png,B (125).png; B (126).png,2,75.07,80.96,55.6,63.65,5.38,6.08
SRC0024,17b325a72cd0b1f0475f7ccffb12281aedf18f104554312d60f238178b0e50e1,Coffee rust,train,2,K (26).jpg,K (26).jpg; K (27).jpg,2,77.17,85.65,57.24,63.29,4.36,5.8
SRC0025,18551f81e7afa40faee5ae6e528a51b94e5512b791f8f7fec6bdebf482c1103a,Leaf spot,train,4,B (51).jpg,B (51).jpg; B (52).jpg; B (53).jpg; B (54).jpg,4,78.3,88.41,34.84,56.44,5.27,6.09
SRC0026,1908652eee74270e8d28b6cfa317fd5ac7c033f94ae115b50514235bdff62682,Coffee rust,train,4,K (85).png,K (85).png; K (86).png; K (87).png; K (88).png,4,77.26,93.5,32.57,62.48,4.91,5.48
SRC0027,1a6b042686b3f120ffa60e942b254da0d3851c0caae021afcc026eeff816d139,Leaf spot,train,1,B (35).jpg,B (35).jpg,1,78.87,78.87,49.75,49.75,5.28,5.28
SRC0028,1c0cc2b2db6879fd45028408d0933279d776e1539d73c8d2bc7cdc441fbdafae,Coffee rust,train,4,K (33).png,K (33).png; K (34).png; K (35).png; K (36).png,4,66.54,78.13,47.45,64.96,5.19,5.62
SRC0029,1c5f03f717ea02947f98349f093a85ef2dfaa05adf9f8e3686a3da06619a7e63,Leaf spot,train,2,B (17).jpg,B (17).jpg; B (18).jpg,2,90.02,95.81,55.54,63.83,4.78,5.68
SRC0030,1ce7c199ef319293388e0b0ba902b5e3f329d27f6566d7e07fc17e1bedd7215a,Coffee rust,train,4,K (145).png,K (145).png; K (146).png; K (147).png; K (148).png,4,78.1,82.33,56.31,61.13,5.03,5.34
SRC0031,1eb51a41dca21bd0f8a1c0814f5b30c766b4f2a5269aa8239a30d3ccd372b3c3,Healthy,train,3,Ds (7).jpg,Ds (7).jpg; Ds (8).jpg; Ds (9).jpg,3,63.22,72.32,52.15,62.68,6.48,6.58
SRC0032,1f4a5dba120f0547358f21f5f526b5135c2f8e580fe0d5143dcb500cded76ee5,Coffee rust,train,4,K (109).png,K (109).png; K (110).png; K (111).png; K (112).png,4,78.01,94.85,35.65,64.37,5.0,5.67
SRC0033,2051b9f27dc9d6b31482afe02fa01eb0947a6eaa08d070b2e266169a04149c81,Sooty mold,train,4,Ej (10).png,Ej (10).png; Ej (7).png; Ej (8).png; Ej (9).png,4,74.13,92.0,64.81,82.12,5.2,6.46
SRC0034,20666fe857278444210f7d120dd95c126161bddfef3ede014c8b126501b70237,Leaf spot,train,2,B (23).jpg,B (23).jpg; B (24).jpg,2,79.75,89.05,46.46,50.85,5.31,5.48
SRC0035,24b8cc1822c3510db55c58b0ab12c0257c1d0fccc3633fa8913a8729d8a290b0,Leaf spot,validation,2,B (121).png,B (121).png; B (122).png,2,72.3,86.18,51.87,62.76,5.6,5.69
SRC0036,24cd17c8c131b1d1a0779b49f9cf07b8ce544fa527abd9f52c9d87fd677d1eba,Coffee rust,train,2,K (40).jpg,K (40).jpg; K (41).jpg,2,77.54,77.76,47.19,48.29,4.86,5.3
SRC0037,26af757f36990c46dc47f861ff3724f7af08b1661033f20467def2134ad33aee,Leaf spot,train,4,B (85).jpg,B (85).jpg; B (86).jpg; B (87).jpg; B (88).jpg,4,68.0,93.92,29.5,56.26,5.16,6.0
SRC0038,27fb2575cfe5d07d514f5d588b01a54df65da456da472ecaa8bdd369be75d578,Leaf spot,train,1,B (3).jpg,B (3).jpg,1,78.42,78.42,49.56,49.56,4.95,4.95
SRC0039,28c032f6539d05794218dd3cf74527703d4e34bfc9cf75d61787393dfac62e2c,Coffee rust,validation,4,K (1).png,K (1).png; K (2).png; K (3).png; K (4).png,4,75.9,83.04,49.44,59.39,4.66,5.67
SRC0040,29e4bf06385d86774c0be1bd1c561688a015607da57e0a0992ffd2a018ec6a57,Coffee rust,validation,2,K (28).jpg,K (28).jpg; K (29).jpg,2,80.22,90.44,40.2,42.43,5.09,5.63
SRC0041,2be1a8e32514f76e9c25db24a9e014b7368f54dd43b3acbc011bdea3c423dc29,Sooty mold,train,3,Ej (15).jpg,Ej (15).jpg; Ej (16).jpg; Ej (17).jpg,3,87.86,93.19,69.47,82.81,5.64,6.37
SRC0042,2be6b4c798b1171f32167fe7102df4f315ef1e7eca548b6452ed26859ebf9e48,Sooty mold,train,6,Ej (120).png,Ej (120).png; Ej (121).png; Ej (125).png; Ej (126).png; Ej (127).png; Ej (128).png,6,80.26,98.0,64.95,94.23,4.77,6.03
SRC0043,2dbe0e7fc64935a4463a2762c18bd6eadfd078df0e7797df963d720a1b0d5e50,Coffee rust,train,4,K (78).jpg,K (78).jpg; K (79).jpg; K (80).jpg; K (81).jpg,4,72.1,81.67,44.87,61.27,5.11,5.97
SRC0044,2eec58e1d7d7deee200d689cde84ed03e3390453c4e01c3d0e0aa363588389fd,Sooty mold,validation,3,Ej (130).png,Ej (130).png; Ej (131).png; Ej (132).png,3,81.35,97.55,64.35,82.77,5.96,6.29
SRC0045,314cb3f43a23caddaf24c5e15207dee109e800c6883bbc2ceba028123a33dd9b,Healthy,train,8,Ds (126).png,Ds (126).png; Ds (128).png; Ds (130).png; Ds (132).png; Ds (134).png; Ds (136).png; Ds (138).png; Ds (140).png,8,53.22,77.05,50.92,75.08,6.09,6.97
SRC0046,339806d265fd09a6fbe4c18f31274821bdeed6825c0ae740ea9b3c64b049d357,Coffee rust,train,4,K (129).png,K (129).png; K (130).png; K (131).png; K (132).png,4,66.06,79.08,46.68,58.83,4.61,5.41
SRC0047,33dd269a599b54213f0ce4c773aa40b7ad58bf4d3eed8c6f9a92712ce32a4b93,Leaf spot,train,4,B (89).jpg,B (89).jpg; B (90).jpg; B (91).jpg; B (92).jpg,4,78.09,91.03,43.99,56.94,5.21,5.53
SRC0048,3505d114b1dc0a2f1adb10363085afd3e8c7f49f722e142da9a55df6b5481f7a,Leaf spot,train,2,B (27).jpg,B (27).jpg; B (28).jpg,2,68.81,83.03,41.61,48.4,4.99,5.53
SRC0049,36ff6c14d8497dd65f65d0ad003ce66f032214e44021cd4a457ec197f007cebd,Healthy,train,5,Ds (101).png,Ds (101).png; Ds (103).png; Ds (83).png; Ds (87).png; Ds (97).png,5,61.22,75.65,55.79,72.43,6.11,6.7
SRC0050,371ea4f81526b6849e11318524c97b904ddc71a4e1ecb0741da70880ac18957c,Healthy,validation,8,Ds (105).png,Ds (105).png; Ds (107).png; Ds (109).png; Ds (85).png; Ds (89).png; Ds (93).png; Ds (95).png; Ds (99).png,8,48.76,77.49,55.44,75.99,5.59,6.93
SRC0051,37c1ddd27276fe100eb596ec8662ae3b69c7fb6f22b640d61d658f136de69a48,Leaf spot,train,1,B (73).jpg,B (73).jpg,1,82.66,82.66,57.99,57.99,5.92,5.92
SRC0052,37f8fcbdcd5eb4e094d8bb170eb8481a56e73ce6a14d1033b4aa7b27ff80ac34,Coffee rust,train,3,K (10).jpg,K (10).jpg; K (11).jpg; K (12).jpg,3,77.97,89.91,49.8,56.95,4.3,6.17
SRC0053,39a1b07018fad0b62efa032da710efbf07ce3efea5418a0de84156fe6419c06c,Sooty mold,train,9,Ej (148).png,Ej (148).png; Ej (149).png; Ej (90).png; Ej (91).png; Ej (92).png; Ej (93).png; Ej (94).png; Ej (95).png; Ej (96).png,9,86.25,98.0,67.59,84.17,5.4,6.37
SRC0054,39ac0b37f2e516fcba0d1bca2a7a21e188a2e7dd3e52d582e9116e7dd2fbb2ca,Coffee rust,train,4,K (73).png,K (73).png; K (74).png; K (75).png; K (76).png,4,76.22,83.66,45.99,56.76,4.77,5.73
SRC0055,3bb41c4608b8d512a2c783baee146ccf3fd0942141da623c9deaacea31a47b08,Sooty mold,train,16,Ej (133).png,Ej (133).png; Ej (134).png; Ej (135).png; Ej (136).png; Ej (137).png; Ej (138).png; Ej (144).png; Ej (145).png; Ej (63).png; Ej (64).png; Ej (65).png; Ej (66).png; Ej (67).png; Ej (68).png; Ej (69).png; Ej (70).png,16,84.09,98.0,59.37,92.07,5.18,6.58
SRC0056,3c57e5cfa5a921ad001501b0c33424715c894ee9a0d3a22447e98c77aa287156,Coffee rust,train,4,K (101).png,K (101).png; K (102).png; K (103).png; K (104).png,4,75.59,95.91,43.51,48.79,4.73,5.49
SRC0057,3fa67f37d0109961ecf05ecd97fdaf15c23275891d12d6e7b3c2f2ea1fc4aca4,Healthy,validation,4,Ds (129).png,Ds (129).png; Ds (135).png; Ds (139).png; Ds (141).png,4,60.69,74.56,56.34,63.26,5.75,6.73
SRC0058,4380227b5332769b84c1c8ed4044ea99ba99678ee552557ac7e7349e918db9ac,Leaf spot,train,2,B (141).png,B (141).png; B (142).png,2,72.92,76.14,51.82,53.07,4.88,5.2
SRC0059,440718ebf928bb8a0e0a15f2375788a0bea13b759788945e591236e94c92ae46,Leaf spot,train,2,B (135).png,B (135).png; B (136).png,2,71.06,82.79,51.21,54.72,5.8,6.23
SRC0060,441b10e8f33d9695341f6a8d56c716fd3afe8366be49b0105fd0c9c12d33e85a,Coffee rust,train,3,K (13).jpg,K (13).jpg; K (14).jpg; K (15).jpg,3,72.94,83.29,40.74,58.28,5.43,5.44
SRC0061,44caa2fc8edb2d369dfcf9c46185508f7e053b8075e1da70f5d4f8fd0b76e622,Leaf spot,train,2,B (143).png,B (143).png; B (144).png,2,85.96,87.82,51.06,56.58,6.07,6.11
SRC0062,44e3cb4325f6440b7e8adcf8db6c5b4ef48969d0ac7da082e94fffc66b41daad,Coffee rust,validation,2,K (34).jpg,K (34).jpg; K (35).jpg,2,74.7,80.31,44.3,53.01,4.87,4.98
SRC0063,4671701849b4354961126aaa340588722c5e0ae1e25f7bbcabed0e86c4b54d33,Leaf spot,train,2,B (131).png,B (131).png; B (132).png,2,69.47,76.23,54.81,64.19,5.44,6.18
SRC0064,482ca7abb20f3249d1eb11f151b7b82718e61a0dea75fb29c1a7158f86bc48b0,Leaf spot,train,2,B (4).png,B (4).png; B (9).png,2,80.9,95.77,53.31,57.33,5.02,5.6
SRC0065,4c19f89d77d3bc7c8f8310ee3ca6c3269297f312ecd44c52ac945511b5b61280,Healthy,train,6,Ds (58).jpg,Ds (58).jpg; Ds (59).jpg; Ds (60).jpg; Ds (61).jpg; Ds (62).jpg; Ds (63).jpg,6,64.46,82.75,59.7,70.96,5.88,6.49
SRC0066,4caf7f47922a510253d923729c50e1559b08d28fa0dd91461db0ddb08995c465,Healthy,train,9,Ds (70).jpg,Ds (70).jpg; Ds (71).jpg; Ds (72).jpg; Ds (73).jpg; Ds (74).jpg; Ds (75).jpg; Ds (76).jpg; Ds (77).jpg; Ds (78).jpg,9,63.7,86.62,53.33,76.75,5.82,6.65
SRC0067,4f670b84a766a4be8ff7dc2f45f5dd5257104249cefba56ea9271ceb12d44489,Leaf spot,validation,2,B (39).jpg,B (39).jpg; B (40).jpg,2,69.51,88.16,52.62,59.31,4.53,5.61
SRC0068,4fea587db2d04e6361571c9f3f175764f0d3f135aa01b08f923ddaa711747a53,Coffee rust,validation,4,K (121).png,K (121).png; K (122).png; K (123).png; K (124).png,4,64.89,84.33,42.38,57.39,5.14,5.8
SRC0069,5183b9cdcb9cd47464d27561d352c90873c5f18d5a86238d00861dc0ada2ae31,Leaf spot,train,2,B (32).jpg,B (32).jpg; B (34).jpg,2,83.03,86.89,44.13,52.78,4.66,5.97
SRC0070,5237a2cc83cf33e77c49bfcf16bc70c1b35631da16e16e2093b818208c8f2eb3,Coffee rust,train,3,K (75).jpg,K (75).jpg; K (76).jpg; K (77).jpg,3,73.89,87.09,46.72,60.09,4.71,5.62
SRC0071,5266aa4fdf0d8097f903c980e25d49cd11b528964eee616885ca30603ad7058f,Healthy,train,3,Ds (10).jpg,Ds (10).jpg; Ds (11).jpg; Ds (12).jpg,3,56.6,72.67,60.56,78.14,5.25,7.31
SRC0072,53aaf229279b4be690777f738c7c40e5e5e0d5e61f60ddd8e7f8a16918575134,Leaf spot,train,2,B (11).jpg,B (11).jpg; B (12).jpg,2,70.58,95.09,49.52,51.56,5.5,5.51
SRC0073,53b3381cdcfca3d943a8f48832ccfa2ddaf1c81d83ca480604d1174401ad540d,Coffee rust,train,4,K (89).jpg,K (89).jpg; K (90).jpg; K (91).jpg; K (92).jpg,4,72.51,80.94,44.1,54.85,4.49,5.53
SRC0074,5714a55d495bdc89716dd4794372f736d2d79bdd941d57f522db8adb3f4ec6a0,Sooty mold,train,5,Ej (21).png,Ej (21).png; Ej (27).png; Ej (87).png; Ej (88).png; Ej (89).png,5,85.34,98.0,66.62,88.87,5.19,6.59
SRC0075,586327cce1508de3368806cb510c0cb2375e978cd58b4efaacd92c1fcc2f9b86,Leaf spot,train,10,B (26).png,B (26).png; B (27).png; B (28).png; B (29).png; B (30).png; B (31).png; B (32).png; B (33).png; B (34).png; B (35).png,10,68.73,91.67,39.58,68.63,4.37,5.83
SRC0076,59412c0e7eee92f636e85e5a54390fef5215c144ff2886930550d23316a1a3d6,Coffee rust,train,3,K (23).jpg,K (23).jpg; K (24).jpg; K (25).jpg,3,68.69,84.63,43.88,60.08,4.65,5.64
SRC0077,59cea31d8d7294f01a32ae7d8b4a7d603503b116876cc1a4e094ccfbeb83e330,Healthy,train,3,Ds (1).jpg,Ds (1).jpg; Ds (2).jpg; Ds (3).jpg,3,64.25,78.6,59.86,72.97,6.21,7.03
SRC0078,5aeda5a553a9529cb3f831f09e4abbb255af062a5241a49348e8c0436c34a3f3,Healthy,train,2,Ds (143).png,Ds (143).png; Ds (147).png,2,77.03,79.94,52.27,60.44,5.95,6.86
SRC0079,5b0546b67de961fc0393c80d2e10e1167c82ac7ca8b54a701d304496256435f3,Leaf spot,validation,1,B (78).jpg,B (78).jpg,1,80.19,80.19,53.35,53.35,5.52,5.52
SRC0080,5c0a4a8822b60af3eae8c0efa9d9d74cd3ff467963b05eca9e972af6a7c747aa,Leaf spot,train,2,B (29).jpg,B (29).jpg; B (36).jpg,2,80.04,94.89,59.83,61.3,5.43,5.83
SRC0081,5dce6c49d8a6fbcebe4f97e17c6c92b6dde32cf1824fbf392eb009649d6bdf63,Leaf spot,train,2,B (101).png,B (101).png; B (102).png,2,84.25,86.16,49.47,65.88,5.11,5.55
SRC0082,5f4588abdbfdf6493eed791625c5bd79fcc34f6f316a9e01fc3aae332c3dbd28,Coffee rust,train,4,K (81).png,K (81).png; K (82).png; K (83).png; K (84).png,4,79.22,88.57,50.32,61.82,4.55,5.38
SRC0083,5fa3d0f6b9994608f3a7f9fefa9ad6ef279555d50a8dce42af177bd84bd5d5d6,Coffee rust,train,3,K (20).jpg,K (20).jpg; K (21).jpg; K (22).jpg,3,72.28,91.48,42.54,54.28,4.57,5.51
SRC0084,5fad67b3b32067de8c80f50063cf2a27342ed33048b479e5122c8737aa94b5ed,Leaf spot,validation,2,B (111).png,B (111).png; B (112).png,2,77.62,79.71,65.08,66.39,5.54,5.84
SRC0085,6060dd842265507be58990cea81067f399e567ad320e05a69bad84b1c150a6fe,Coffee rust,validation,4,K (13).png,K (13).png; K (14).png; K (15).png; K (16).png,4,75.8,83.37,43.62,57.7,4.31,5.5
SRC0086,60c323ef7c46f76e95c9bdccfd5be09e2a1468517c8fb705e88b620af050ea59,Leaf spot,train,3,B (55).jpg,B (55).jpg; B (56).jpg; B (57).jpg,3,76.73,89.81,48.03,60.41,5.48,5.97
SRC0087,61cf6c89631cf631afa7953416171d8124147254f026ebdebacf2c8819aa527d,Leaf spot,train,1,B (5).jpg,B (5).jpg,1,80.25,80.25,48.12,48.12,5.44,5.44
SRC0088,62274f5516be9728f23cca03c757b9c856fb8182dd4c7924dc8afb985d9a6a83,Coffee rust,train,3,K (62).jpg,K (62).jpg; K (63).jpg; K (64).jpg,3,70.5,92.33,41.77,61.17,4.76,5.04
SRC0089,62277b44b6f613d4e6fc9e3c6280c44744ecf32c66db5287f2802caf162434dd,Leaf spot,train,2,B (65).png,B (65).png; B (66).png,2,83.2,90.66,54.37,56.46,5.3,5.92
SRC0090,6228b807ad67bb91dc5a6cfd3dcbf18cba33344efef655cb8fc7abfdad0cd14c,Leaf spot,train,2,B (15).jpg,B (15).jpg; B (16).jpg,2,79.78,89.96,54.56,61.11,5.76,5.94
SRC0091,62aa516315ad34b9baa09bfee68f7ab45010e43e4c83b6d1afc2c366bc314f93,Coffee rust,train,4,K (53).png,K (53).png; K (54).png; K (55).png; K (56).png,4,69.84,78.73,45.31,52.71,5.05,5.56
SRC0092,65079fd9283fb9d34d45f2785aba6963e030d2f8c91c397fee2ef99eff11396a,Leaf spot,train,2,B (109).png,B (109).png; B (110).png,2,77.48,79.74,39.96,52.63,5.49,5.8
SRC0093,66e0342a7e902dbb8bdf3b5dee55a521a57ef3da3c622fd965b944f0144837cc,Coffee rust,train,4,K (89).png,K (89).png; K (90).png; K (91).png; K (92).png,4,68.83,80.29,46.28,60.93,4.53,5.64
SRC0094,697de0654ec5df2baaacf5820b980111db245d8bd04095a98bb3a6fe43fc3b52,Leaf spot,train,1,B (6).jpg,B (6).jpg,1,83.86,83.86,55.4,55.4,4.79,4.79
SRC0095,69fc8904a83e2fc59a214093751ef1142b9babcd217042c05142639956de6bb3,Coffee rust,train,2,K (48).jpg,K (48).jpg; K (49).jpg,2,67.35,86.33,45.97,48.29,4.55,5.45
SRC0096,6bcb0200d98de9062d779d03d48c3d8649c1e0b1e653e2dcb0d452e46e81b04d,Leaf spot,train,2,B (91).png,B (91).png; B (92).png,2,67.13,76.84,43.7,66.05,5.38,5.7
SRC0097,6c81fc7a4316c644f82d6aae5ba47168c16a15d0af1c3003102bf95fd6181818,Leaf spot,validation,2,B (133).png,B (133).png; B (134).png,2,78.28,87.14,49.63,60.52,5.63,5.77
SRC0098,6c8e0afcfaf5837d39f0373d8c57d7652e8989d8ed07ba174ddda07b287790d7,Healthy,train,4,Ds (127).png,Ds (127).png; Ds (131).png; Ds (133).png; Ds (137).png,4,61.29,79.96,60.99,77.6,4.86,7.08
SRC0099,6d22b37e153520bd50c053ccf5bd4ce6e89ba849fce890e5055a444b8e5605c3,Healthy,train,2,Ds (115).png,Ds (115).png; Ds (119).png,2,63.88,76.2,63.83,68.11,6.89,6.93
SRC0100,6d38de8f3df8a1ceb7525497e01220c5f8c010dc0997055ec5f220889b7545b9,Leaf spot,train,2,B (117).png,B (117).png; B (118).png,2,76.9,81.84,54.53,68.94,5.09,5.65
SRC0101,6d491677544fe8aa0b6881c52caf21c93e50cde27b1eef6ffbc5538d33e71f35,Healthy,train,18,Ds (100).png,Ds (100).png; Ds (102).png; Ds (104).png; Ds (106).png; Ds (108).png; Ds (79).png; Ds (80).png; Ds (81).png; Ds (82).png; Ds (84).png; Ds (86).png; Ds (88).png; Ds (90).png; Ds (91).png; Ds (92).png; Ds (94).png; Ds (96).png; Ds (98).png,18,58.16,81.74,40.99,84.4,5.41,7.16
SRC0102,6eef978d250a68dfe7f6fcc5a363485867b91884a021b1fa9bf224a7139fe007,Leaf spot,train,2,B (83).png,B (83).png; B (84).png,2,78.73,96.25,51.81,61.89,5.65,5.93
SRC0103,707f014c9f68227e19b14b19e354c5bab29d9018a241d5f4e6be9b64092c86e5,Sooty mold,train,4,Ej (25).jpg,Ej (25).jpg; Ej (26).jpg; Ej (27).jpg; Ej (28).jpg,4,92.49,98.0,63.62,88.33,5.38,6.64
SRC0104,70ebafa2d302b84e21eab56db390da03508425f777c377de23e0264fc373f7ee,Leaf spot,train,2,B (81).png,B (81).png; B (82).png,2,77.85,80.08,46.69,51.81,5.14,5.24
SRC0105,71b8cc7312ff69243327712c3377622d5f52091568989f1d0c2f3f13e0c833c6,Leaf spot,train,2,B (127).png,B (127).png; B (128).png,2,80.1,90.07,45.83,72.39,5.38,5.65
SRC0106,734919706e08ff15aecb434f1ca3b85b702123226885d73ac3b5c1bb435bec7c,Leaf spot,train,2,B (115).png,B (115).png; B (116).png,2,73.75,86.05,50.02,52.48,6.09,6.1
SRC0107,73b6931c9266367d39e880d6ba9f4855ce6d916ed4a25acab6b830f7ae2889ad,Coffee rust,validation,4,K (125).png,K (125).png; K (126).png; K (127).png; K (128).png,4,75.27,86.78,41.22,51.09,5.12,6.08
SRC0108,754d696e452cbdb084a24aa91dde81863ab1ccec23bf69aad1f3f250d0dd8e5c,Coffee rust,validation,4,K (57).png,K (57).png; K (58).png; K (59).png; K (60).png,4,76.86,98.0,34.63,54.63,4.56,5.3
SRC0109,765b0cc336fb8680ece5bd3db3f9c8668352cfe1fdbeda6c0efa8383a795e568,Leaf spot,train,4,B (101).jpg,B (101).jpg; B (102).jpg; B (103).jpg; B (104).jpg,4,79.05,92.15,43.84,51.79,5.42,6.07
SRC0110,769fef40429b8f884453ba12d4939708f1dabc1da1829106482a96c069d24822,Coffee rust,train,2,K (68).jpg,K (68).jpg; K (69).jpg,2,73.93,82.35,46.54,54.55,5.32,5.35
SRC0111,77da8e7ec8046b755d051d431928ab7fe3d0f1d3b40d3dd982c3ac68cf1a99b7,Coffee rust,train,3,K (72).jpg,K (72).jpg; K (73).jpg; K (74).jpg,3,69.23,81.78,46.56,56.99,5.16,6.1
SRC0112,78fe444d753728dfcf7d1dbe402743b21669943c552e3e771e316f6eaac28d09,Sooty mold,train,8,Ej (104).png,Ej (104).png; Ej (105).png; Ej (106).png; Ej (107).png; Ej (108).png; Ej (109).png; Ej (116).png; Ej (117).png,8,80.94,98.0,62.77,88.04,5.5,7.03
SRC0113,7904286752d56b516c31d534a6ab9dd19bdb3f35bda1e3ce06d55b87174f545a,Leaf spot,train,2,B (41).jpg,B (41).jpg; B (42).jpg,2,80.59,95.11,64.81,65.0,4.51,6.04
SRC0114,7a12ddd880d25f5f0db62bc1566b39fa1f87aa199b744303747ee2d1a1856993,Leaf spot,train,4,B (47).jpg,B (47).jpg; B (48).jpg; B (49).jpg; B (50).jpg,4,72.96,90.95,40.2,58.67,5.28,5.98
SRC0115,7aadd65072700ffda44d549cf1357307d38f9cfbc99d2497f5ece8a8bd98f56a,Leaf spot,train,1,B (8).png,B (8).png,1,88.13,88.13,51.88,51.88,5.81,5.81
